Fish Name
Nerophis maculatus
Nerophis ophidion
Syngnathus abaster
Syngnathus acus
Syngnathus phlegon
Syngnathus rostellatus
Syngnathus taenionotus
Syngnathus tenuirostris
Syngnathus typhle
Anthias anthias
Cephalopholis taeniops
Epinephelus aeneus
Epinephelus caninus
Epinephelus coioides
Epinephelus costae
Epinephelus malabaricus
Epinephelus marginatus
Hyporthodus haifensis
Mycteroperca rubra
Serranus atricauda
Serranus cabrilla
Serranus hepatus
Serranus scriba
Helicolenus dactylopterus
Trachyscorpia cristulata
Pontinus kuhlii
Pterois miles
Scorpaena azorica
Scorpaena elongata
Scorpaena loppei
Scorpaena maderensis
Scorpaena notata
Scorpaena porcus
Scorpaena scrofa
Scorpaena stephanica
Scorpaenodes arenai
Sebastapistes mauritiana
Elates ransonnetti
Papilloculiceps longiceps
Platycephalus indicus
Sorsogona prionota
Chelidonichthys cuculus
Chelidonichthys lucerna
Chelidonichthys obscurus
Eutrigla gurnardus
Lepidotrigla cavillone
Lepidotrigla dieuzeidei
Trigla lyra
Trigloporus lastoviza
Peristedion cataphractum
Taurulus bubalis
Eutelichthys leptochirus
Paraliparis murieli
Melanostigma atlanticum
Cyclopterus lumpus
Synagrops japonicus
Apogon imberbis
Apogon queketti
Apogon smithi
Apogonichthyoides nigripinnis
Apogonichthyoides pharaonis
Apogonichthyoides taeniatus
Brama brama
Callanthias ruber
Centracanthus cirrus
Spicara maena
Spicara smaris
Cepola macrophthalma
Chaetodon hoefleri
Chaetodon melannotus
Heniochus intermedius
Platax teira
Epigonus constanciae
Epigonus denticulatus
Epigonus telescopus
Microichthys coccoi
Microichthys sanzoi
Parapristipoma humile
Parapristipoma octolineatum
Plectorhinchus mediterraneus
Pomadasys incisus
Pomadasys stridens
Kyphosus saltatrix
Equulites klunzingeri
Lobotes surinamensis
Lutjanus argentimaculatus
Lutjanus jocu
Dicentrarchus labrax
Dicentrarchus punctatus
Mullus barbatus
Mullus surmuletus
Parupeneus forsskali
Pseudupeneus prayensis
Upeneus moluccensis
Upeneus pori
Nemipterus japonicus
Nemipterus randalli
Pempheris vanicolensis
Pomatomus saltatrix
Galeoides decadactylus
Polyprion americanus
Priacanthus arenatus
Rachycentron canadum
Argyrosomus regius
Sciaena umbra
Umbrina canariensis
Umbrina cirrosa
Umbrina ronchus
Sillago sihama
Boops boops
Crenidens crenidens
Dentex dentex
Dentex gibbosus
Dentex macrophthalmus
Dentex maroccanus
Diplodus annularis
Diplodus bellottii
Diplodus cervinus
Diplodus puntazzo
Diplodus sargus
Diplodus vulgaris
Lithognathus mormyrus
Oblada melanura
Pagellus acarne
Pagellus bellottii
Pagellus bogaraveo
Pagellus erythrinus
Pagrus auriga
Pagrus caeruleostictus
Pagrus major
Pagrus pagrus
Rhabdosargus haffara
Sarpa salpa
Sparus aurata
Spondyliosoma cantharus
Pelates quadrilineatus
Terapon puta
Terapon therapes
Aphia minuta
Bathygobius soporator
Buenia affinis
Buenia jeffreysii
Chromogobius quadrivittatus
Chromogobius zebratus
Corcyrogobius liechtensteini
Coryogalops ocheticus
Crystallogobius linearis
Deltentosteus collonianus
Deltentosteus quadrimaculatus
Didogobius bentuvii
Didogobius schlieweni
Didogobius splechtnai
Favonigobius melanobranchus
Gammogobius steinitzi
Gobius ater
Gobius auratus
Gobius bucchichi
Gobius cobitis
Gobius couchi
Gobius cruentatus
Gobius fallax
Gobius geniporus
Gobius kolombatovici
Gobius niger
Gobius paganellus
Gobius roulei
Gobius strictus
Gobius vittatus
Gobius xanthocephalus
Gobiusculus flavescens
Knipowitschia caucasica
Knipowitschia panizzae
Lebetus guilleti
Lesueurigobius friesii
Lesueurigobius sanzi
Lesueurigobius suerii
Millerigobius macrocephalus
Neogobius melanostomus
Odondebuenia balearica
Oxyurichthys papuensis
Oxyurichthys petersi
Pomatoschistus bathi
Pomatoschistus canestrinii
Pomatoschistus knerii
Pomatoschistus marmoratus
Pomatoschistus microps
Pomatoschistus minutus
Pomatoschistus norvegicus
Pomatoschistus pictus
Pomatoschistus quagga
Pomatoschistus tortonesei
Pseudaphya ferreri
Silhouettea aegyptia
Speleogobius trigloides
Thorogobius ephippiatus
Thorogobius macrolepis
Vanneaugobius dollfusi
Vanneaugobius pruvoti
Zebrus zebrus
Zosterisessor ophiocephalus
Aidablennius sphynx
Blennius ocellaris
Coryphoblennius galerita
Hypleurochilus bananensis
Lipophrys adriaticus
Lipophrys canevae
Lipophrys dalmatinus
Lipophrys nigriceps
Lipophrys pholis
Omobranchus punctatus
Parablennius gattorugine
Parablennius incognitus
Parablennius pilicornis
Parablennius rouxi
Parablennius sanguinolentus
Parablennius tentacularis
Parablennius zvonimiri
Paralipophrys trigloides
Petroscirtes ancylodon
Salaria basilisca
Salaria pavo
Scartella cristata
Clinitrachus argentatus
Tripterygion delaisi
Tripterygion melanurum
Tripterygion tripteronotum
Callionymus fasciatus
Callionymus filamentosus
Callionymus lyra
Callionymus maculatus
Callionymus pusillus
Callionymus reticulatus
Callionymus risso
Synchiropus phaeton
Apletodon dentatus
Apletodon incognitus
Apletodon microcephalus
Diplecogaster bimaculata
Gouania willdenowi
Lepadogaster candolii
Lepadogaster lepadogaster
Lepadogaster purpurea
Opeatogenys gracilis
Acantholabrus palloni
Centrolabrus exoletus
Centrolabrus trutta
Coris julis
Ctenolabrus rupestris
Iniistius pavo
Labrus bergylta
Labrus merula
Labrus mixtus
Labrus viridis
Lappanella fasciata
Pteragogus pelycus
Symphodus bailloni
Symphodus cinereus
Symphodus doderleini
Symphodus mediterraneus
Symphodus melanocercus
Symphodus melops
Symphodus ocellatus
Symphodus roissali
Symphodus rostratus
Symphodus tinca
Thalassoma pavo
Xyrichtys novacula
Scarus ghobban
Sparisoma cretense
Abudefduf vaigiensis
Chromis chromis
Chromis viridis
Echeneis naucrates
Remora australis
Remora brachyptera
Remora osteochir
Remora remora
Coryphaena equiselis
Coryphaena hippurus
Alectis alexandrinus
Alepes djedaba
Campogramma glaycos
Caranx crysos
Caranx hippos
Caranx rhonchus
Decapterus macarellus
Decapterus punctatus
Decapterus russelli
Elagatis bipinnulata
Lichia amia
Naucrates ductor
Pseudocaranx dentex
Selene dorsalis
Seriola carpenteri
Seriola dumerili
Seriola fasciata
Seriola rivoliana
Trachinotus ovatus
Trachurus mediterraneus
Trachurus picturatus
Trachurus trachurus
Centrolophus niger
Hyperoglyphe perciformis
Schedophilus medusophagus
Schedophilus ovalis
Cubiceps capensis
Cubiceps gracilis
Psenes pellucidus
Pampus argenteus
Stromateus fiatola
Sphyraena chrysotaenia
Sphyraena flavicauda
Sphyraena obtusata
Sphyraena sphyraena
Sphyraena viridensis
Istiophorus platypterus
Makaira indica
Makaira nigricans
Tetrapturus albidus
Tetrapturus belone
Tetrapturus georgii
Xiphias gladius
Ruvettus pretiosus
Lepidopus caudatus
Trichiurus lepturus
Acanthocybium solandri
Auxis rochei rochei
Auxis thazard
Euthynnus alletteratus
Katsuwonus pelamis
Orcynopsis unicolor
Rastrelliger kanagurta
Sarda sarda
Scomber colias
Scomber scombrus
Scomberomorus commerson
Scomberomorus tritor
Thunnus alalunga
Thunnus thynnus
Ammodytes tobianus
Champsodon nudivittis
Champsodon vorax
Gymnammodytes cicerelus
Gymnammodytes semisquamatus
Pinguipes brasilianus
Uranoscopus scaber
Echiichthys vipera
Trachinus aranaeus
Trachinus draco
Trachinus radiatus
Arnoglossus grohmanni
Arnoglossus imperialis
Arnoglossus kessleri
Arnoglossus laterna
Arnoglossus rueppelii
Arnoglossus thori
Bothus podas
Citharus linguatula
Platichthys flesus
Pleuronectes platessa
Lepidorhombus boscii
Lepidorhombus whiffiagonis
Psetta maxima
Scophthalmus rhombus
Zeugopterus punctatus
Zeugopterus regius
Bathysolea profundicola
Buglossidium luteum
Dicologlossa cuneata
Dicologlossa hexophthalma
Microchirus azevia
Microchirus boscanion
Microchirus ocellatus
Microchirus variegatus
Monochirus hispidus
Pegusa impar
Pegusa lascaris
Solea aegyptiaca
Solea senegalensis
Solea solea
Synaptura lusitanica
Synapturichthys kleinii
Cynoglossus sinusarabici
Symphurus ligulatus
Symphurus nigrescens
Acanthurus monroviae
Luvarus imperialis
Siganus luridus
Siganus rivulatus
Balistes capriscus
Cyclichthys spilostylus
Diodon hystrix
Mola mola
Ranzania laevis
Stephanolepis diaspros
Acanthostracion notacanthus
Acanthostracion quadricornis
Lactophrys trigonus
Tetrosomus gibbosus
Tetragonurus cuvieri
Arothron hispidus
Ephippion guttifer
Lagocephalus lagocephalus
Lagocephalus sceleratus
Lagocephalus spadiceus
Lagocephalus suezensis
Sphoeroides marmoratus
Sphoeroides pachygaster
Torquigener flavimaculosus
Tylerius spinosissimus
Halobatrachus didactylus
Gasterosteus aculeatus
Dactylopterus volitans
Capros aper
Cetorhinus maximus
Fistularia commersonii
Thorogobius ephippiatus
Hexanchus griseus
Squatina squatina
Carcharodon carcharias
Evermannella balbo
Mustelus mustelus
Lophius piscatorius
Dactylopterus volitans
Mullus barbatus
Seriola dumerili
Oblada melanura
Trachinus draco
Cyclothone microdon
Blennius ocellaris
Mola mola
Prionace glauca
Lesueurigobius friesii
Knipowitschia caucasica
Molva molva
Pegusa lascaris
Zebrus zebrus
Zu cristatus
Epigonus telescopus
Muraena helena
Gasterosteus aculeatus
Coryphaena hippurus
Squalus acanthias
Conger conger
Thunnus alalunga
Scyliorhinus canicula
Galeus melastomus
Scyliorhinus stellaris
Diaphus holti
Trachurus trachurus
Sparus aurata
Zeus faber
Chromis chromis
Parablennius gattorugine
Ruvettus pretiosus
Cyclichthys spilostylus
Mora moro
Gobius bucchichi
Sciaena umbra
Pagellus bogaraveo
Labrus merula
Tripterygion melanurus
Symphodus roissali
Diplodus vulgaris
Epinephelus marginatus
Gobius vittatus
Serranus scriba
Pagellus acarne
Ichthyococcus ovatus
Coris julis
Labrus viridis
Pomadasys incisus
Bothus podas
Buenia affinis
Apletodon incognitus
Aidablennius sphynx
Chlopsis bicolor
Alepisaurus ferox
Arnoglossus laterna
Centrolophus niger
Echeneis naucrates
Brama brama
Dasyatis violacea
Uranoscopus scaber
Gobius geniporus
Macroramphosus scolopax
Syngnathus typhle
Nezumia aequalis
Lobianchia gemellarii
Pomatoschistus bathi
